question,body no carry,body carry,paraphrase no carry,paraphrase carry,answer no carry,answer carry,answer,Carry Operation,Num. Carries
How many watchs does Amelia have totaled?,Andrew has 663 watchs. Andrew has 133 fewer watchs than Amelia.,Andrew has 297 watchs. Andrew has 499 fewer watchs than Amelia.,Andrew has 663 watches. Andrew has 133 fewer watches than Amelia. How many watches does Amelia have in total?,Andrew has 297 watches. Andrew has 499 fewer watches than Amelia. How many watches does Amelia have in total?,796,796,796,Addition,2
How many grams of butter does Sophia have?,Emily has 131 grams of butter. Sophia has 266 grams of butter more than Emily.,Emily has 228 grams of butter. Sophia has 169 grams of butter more than Emily.,Emily has 131 grams of butter. Sophia has 266 grams more butter than Emily. How many grams of butter does Sophia have?,Emily has 228 grams of butter. Sophia has 169 grams more butter than Emily. How many grams of butter does Sophia have?,397,397,397,Addition,1
How many rugs does Christopher have in all?,David has 539 rugs. Christopher has 311 fewer rugs than David.,David has 824 rugs. Christopher has 596 fewer rugs than David.,David has 539 rugs. Christopher has 311 fewer rugs than David. How many rugs does Christopher have in total?,David has 824 rugs. Christopher has 596 fewer rugs than David. How many rugs does Christopher have in total?,228,228,228,Subtraction,2
How many soaps does Isabella have in all?,Nathan has 772 soaps. Nathan has 621 more soaps than Isabella.,Nathan has 537 soaps. Nathan has 386 more soaps than Isabella.,Nathan has 772 soaps. Nathan has 621 more soaps than Isabella. How many soaps does Isabella have in total?,Nathan has 537 soaps. Nathan has 386 more soaps than Isabella. How many soaps does Isabella have in total?,151,151,151,Subtraction,1
How many grams of butter does Samuel have?,Charlotte has 294 grams of butter. Charlotte has 152 grams of butter more than Samuel.,Charlotte has 720 grams of butter. Charlotte has 578 grams of butter more than Samuel.,Charlotte has 294 grams of butter. She has 152 grams more butter than Samuel. How many grams of butter does Samuel have?,Charlotte has 720 grams of butter. She has 578 grams more butter than Samuel. How many grams of butter does Samuel have?,142,142,142,Subtraction,2
How many gallons of oil does Lily have?,Benjamin has 677 gallons of oil. Benjamin has 552 gallons of oil more than Lily.,Benjamin has 293 gallons of oil. Benjamin has 168 gallons of oil more than Lily.,Benjamin has 677 gallons of oil. Benjamin has 552 gallons more oil than Lily. How many gallons of oil does Lily have?,Benjamin has 293 gallons of oil. Benjamin has 168 gallons more oil than Lily. How many gallons of oil does Lily have?,125,125,125,Subtraction,1
How many kilowatt-hours of emergency energy reserve does Christian have?,David has 807 kilowatt-hours of emergency energy reserve. Christian has 304 kilowatt-hours of emergency energy reserve less than David.,David has 900 kilowatt-hours of emergency energy reserve. Christian has 397 kilowatt-hours of emergency energy reserve less than David.,David has 807 kilowatt-hours of emergency energy reserve. Christian has 304 kilowatt-hours less than David. How many kilowatt-hours of emergency energy reserve does Christian have?,David has 900 kilowatt-hours of emergency energy reserve. Christian has 397 kilowatt-hours less than David. How many kilowatt-hours of emergency energy reserve does Christian have?,503,503,503,Subtraction,2
How many umbrellas does William have in all?,Olivia has 285 umbrellas. William has 184 fewer umbrellas than Olivia.,Olivia has 500 umbrellas. William has 399 fewer umbrellas than Olivia.,Olivia has 285 umbrellas. William has 184 fewer umbrellas than Olivia. How many umbrellas does William have in total?,Olivia has 500 umbrellas. William has 399 fewer umbrellas than Olivia. How many umbrellas does William have in total?,101,101,101,Subtraction,2
What is the number of large wallets that David has?,Jackson has 789 large wallets. David has 456 fewer large wallets than Jackson.,Jackson has 821 large wallets. David has 488 fewer large wallets than Jackson.,Jackson has 789 large wallets. David has 456 fewer large wallets than Jackson. What is the number of large wallets that David has?,Jackson has 821 large wallets. David has 488 fewer large wallets than Jackson. What is the number of large wallets that David has?,333,333,333,Subtraction,2
How many speakers does Layla have in their collection?,Ella has 637 speakers. Layla has 302 more speakers than Ella.,Ella has 170 speakers. Layla has 769 more speakers than Ella.,Ella has 637 speakers. Layla has 302 speakers more than Ella. How many speakers does Layla have in her collection?,Ella has 170 speakers. Layla has 769 speakers more than Ella. How many speakers does Layla have in her collection?,939,939,939,Addition,1
What is the number of yellow pans that Mason has?,Natalie has 692 yellow pans. Mason has 140 fewer yellow pans than Natalie.,Natalie has 736 yellow pans. Mason has 184 fewer yellow pans than Natalie.,Natalie has 692 yellow pans. Mason has 140 fewer yellow pans than Natalie. What is the number of yellow pans that Mason has?,Natalie has 736 yellow pans. Mason has 184 fewer yellow pans than Natalie. What is the number of yellow pans that Mason has?,552,552,552,Subtraction,1
How many grams of butter does Isabella have?,Samuel has 638 grams of butter. Isabella has 100 grams of butter more than Samuel.,Samuel has 550 grams of butter. Isabella has 188 grams of butter more than Samuel.,Samuel has 638 grams of butter. Isabella has 100 grams more butter than Samuel. How many grams of butter does Isabella have?,Samuel has 550 grams of butter. Isabella has 188 grams more butter than Samuel. How many grams of butter does Isabella have?,738,738,738,Addition,1
How many dollars of bitcoin does Elizabeth have?,Sofia has 755 dollars of bitcoin. Elizabeth has 231 dollars of bitcoin more than Sofia.,Sofia has 177 dollars of bitcoin. Elizabeth has 809 dollars of bitcoin more than Sofia.,Sofia has 755 dollars of bitcoin. Elizabeth has 231 dollars more bitcoin than Sofia. How many dollars of bitcoin does Elizabeth have?,Sofia has 177 dollars of bitcoin. Elizabeth has 809 dollars more bitcoin than Sofia. How many dollars of bitcoin does Elizabeth have?,986,986,986,Addition,1
How many kilowatt-hours of emergency energy reserve does Victoria have?,Joshua has 385 kilowatt-hours of emergency energy reserve. Joshua has 511 kilowatt-hours of emergency energy reserve less than Victoria.,Joshua has 299 kilowatt-hours of emergency energy reserve. Joshua has 597 kilowatt-hours of emergency energy reserve less than Victoria.,Joshua has 385 kilowatt-hours of emergency energy reserve. Joshua has 511 kilowatt-hours less of emergency energy reserve than Victoria. How many kilowatt-hours of emergency energy reserve does Victoria have?,Joshua has 299 kilowatt-hours of emergency energy reserve. Joshua has 597 kilowatt-hours less of emergency energy reserve than Victoria. How many kilowatt-hours of emergency energy reserve does Victoria have?,896,896,896,Addition,2
What is the number of large rugs that Layla has?,Scarlett has 121 large rugs. Layla has 823 more large rugs than Scarlett.,Scarlett has 396 large rugs. Layla has 548 more large rugs than Scarlett.,Scarlett has 121 large rugs. Layla has 823 larger rugs than Scarlett. What is the number of large rugs that Layla has?,Scarlett has 396 large rugs. Layla has 548 larger rugs than Scarlett. What is the number of large rugs that Layla has?,944,944,944,Addition,2
What is the number of large sofas that Chloe has?,Elijah has 217 large sofas. Elijah has 642 fewer large sofas than Chloe.,Elijah has 495 large sofas. Elijah has 364 fewer large sofas than Chloe.,Elijah has 217 large sofas. Elijah has 642 fewer large sofas than Chloe. What is the number of large sofas that Chloe has?,Elijah has 495 large sofas. Elijah has 364 fewer large sofas than Chloe. What is the number of large sofas that Chloe has?,859,859,859,Addition,1
How many mugs does Andrew have in all?,Abigail has 638 mugs. Andrew has 410 fewer mugs than Abigail.,Abigail has 594 mugs. Andrew has 366 fewer mugs than Abigail.,Abigail has 638 mugs. Andrew has 410 fewer mugs than Abigail. How many mugs does Andrew have in total?,Abigail has 594 mugs. Andrew has 366 fewer mugs than Abigail. How many mugs does Andrew have in total?,228,228,228,Subtraction,1
What is the number of large trash cans that Christian has?,Mia has 597 large trash cans. Mia has 104 more large trash cans than Christian.,Mia has 688 large trash cans. Mia has 195 more large trash cans than Christian.,Mia has 597 large trash cans. Mia has 104 more large trash cans than Christian. What is the number of large trash cans that Christian has?,Mia has 688 large trash cans. Mia has 195 more large trash cans than Christian. What is the number of large trash cans that Christian has?,493,493,493,Subtraction,1
What is the number of small sofas that Charlotte has?,Benjamin has 451 small sofas. Benjamin has 301 fewer small sofas than Charlotte.,Benjamin has 569 small sofas. Benjamin has 183 fewer small sofas than Charlotte.,Benjamin has 451 small sofas. Benjamin has 301 fewer small sofas than Charlotte. What is the number of small sofas that Charlotte has?,Benjamin has 569 small sofas. Benjamin has 183 fewer small sofas than Charlotte. What is the number of small sofas that Charlotte has?,752,752,752,Addition,2
What is the number of orange refrigerators that William has?,Chloe has 303 orange refrigerators. William has 102 more orange refrigerators than Chloe.,Chloe has 163 orange refrigerators. William has 242 more orange refrigerators than Chloe.,Chloe has 303 orange refrigerators. William has 102 orange refrigerators more than Chloe. What is the number of orange refrigerators that William has?,Chloe has 163 orange refrigerators. William has 242 orange refrigerators more than Chloe. What is the number of orange refrigerators that William has?,405,405,405,Addition,1
How many gallons of oil does Sofia have?,Alexander has 514 gallons of oil. Sofia has 421 gallons of oil more than Alexander.,Alexander has 570 gallons of oil. Sofia has 365 gallons of oil more than Alexander.,Alexander has 514 gallons of oil. Sofia has 421 gallons more oil than Alexander. How many gallons of oil does Sofia have?,Alexander has 570 gallons of oil. Sofia has 365 gallons more oil than Alexander. How many gallons of oil does Sofia have?,935,935,935,Addition,1
What is the number of large refrigerators that James has?,John has 685 large refrigerators. John has 373 more large refrigerators than James.,John has 701 large refrigerators. John has 389 more large refrigerators than James.,John has 685 large refrigerators. John has 373 more large refrigerators than James. What is the number of large refrigerators that James has?,John has 701 large refrigerators. John has 389 more large refrigerators than James. What is the number of large refrigerators that James has?,312,312,312,Subtraction,2
What is the number of yellow tables that Benjamin has?,Hannah has 505 yellow tables. Hannah has 132 fewer yellow tables than Benjamin.,Hannah has 288 yellow tables. Hannah has 349 fewer yellow tables than Benjamin.,Hannah has 505 yellow tables. Hannah has 132 fewer yellow tables than Benjamin. What is the number of yellow tables that Benjamin has?,Hannah has 288 yellow tables. Hannah has 349 fewer yellow tables than Benjamin. What is the number of yellow tables that Benjamin has?,637,637,637,Addition,2
How many dollars of bitcoin does Henry have?,William has 855 dollars of bitcoin. William has 120 dollars of bitcoin less than Henry.,William has 309 dollars of bitcoin. William has 666 dollars of bitcoin less than Henry.,William has 855 dollars of bitcoin. William has 120 dollars less of bitcoin than Henry. How many dollars of bitcoin does Henry have?,William has 309 dollars of bitcoin. William has 666 dollars less of bitcoin than Henry. How many dollars of bitcoin does Henry have?,975,975,975,Addition,1
What is the number of small forks that Jonathan has?,James has 147 small forks. James has 210 fewer small forks than Jonathan.,James has 158 small forks. James has 199 fewer small forks than Jonathan.,James has 147 small forks. James has 210 fewer small forks than Jonathan. What is the number of small forks that Jonathan has?,James has 158 small forks. James has 199 fewer small forks than Jonathan. What is the number of small forks that Jonathan has?,357,357,357,Addition,2
How many gigabytes of training data does Liam have?,Jacob has 270 gigabytes of training data. Jacob has 613 gigabytes of training data less than Liam.,Jacob has 487 gigabytes of training data. Jacob has 396 gigabytes of training data less than Liam.,Jacob has 270 gigabytes of training data. Jacob has 613 gigabytes less training data than Liam. How many gigabytes of training data does Liam have?,Jacob has 487 gigabytes of training data. Jacob has 396 gigabytes less training data than Liam. How many gigabytes of training data does Liam have?,883,883,883,Addition,2
How many keyboards does Henry have in their collection?,Jonathan has 499 keyboards. Jonathan has 366 more keyboards than Henry.,Jonathan has 592 keyboards. Jonathan has 459 more keyboards than Henry.,Jonathan has 499 keyboards. Jonathan has 366 more keyboards than Henry. How many keyboards does Henry have in his collection?,Jonathan has 592 keyboards. Jonathan has 459 more keyboards than Henry. How many keyboards does Henry have in his collection?,133,133,133,Subtraction,1
How many gallons of oil does Harper have?,Mila has 744 gallons of oil. Harper has 331 gallons of oil less than Mila.,Mila has 702 gallons of oil. Harper has 289 gallons of oil less than Mila.,Mila has 744 gallons of oil. Harper has 331 gallons less oil than Mila. How many gallons of oil does Harper have?,Mila has 702 gallons of oil. Harper has 289 gallons less oil than Mila. How many gallons of oil does Harper have?,413,413,413,Subtraction,2
How many vases does Olivia have in all?,Emily has 403 vases. Emily has 362 fewer vases than Olivia.,Emily has 257 vases. Emily has 508 fewer vases than Olivia.,Emily has 403 vases. Emily has 362 fewer vases than Olivia. How many vases does Olivia have in total?,Emily has 257 vases. Emily has 508 fewer vases than Olivia. How many vases does Olivia have in total?,765,765,765,Addition,1
How many meters of rope does Mason have?,William has 670 meters of rope. Mason has 201 meters of rope more than William.,William has 215 meters of rope. Mason has 656 meters of rope more than William.,William has 670 meters of rope. Mason has 201 meters more rope than William. How many meters of rope does Mason have?,William has 215 meters of rope. Mason has 656 meters more rope than William. How many meters of rope does Mason have?,871,871,871,Addition,1
What is the number of orange rugs that Matthew has?,Henry has 678 orange rugs. Matthew has 421 fewer orange rugs than Henry.,Henry has 362 orange rugs. Matthew has 105 fewer orange rugs than Henry.,Henry has 678 orange rugs. Matthew has 421 fewer orange rugs than Henry. What is the number of orange rugs that Matthew has?,Henry has 362 orange rugs. Matthew has 105 fewer orange rugs than Henry. What is the number of orange rugs that Matthew has?,257,257,257,Subtraction,1
How many grams of butter does David have?,Scarlett has 125 grams of butter. David has 503 grams of butter more than Scarlett.,Scarlett has 399 grams of butter. David has 229 grams of butter more than Scarlett.,Scarlett has 125 grams of butter. David has 503 grams more butter than Scarlett. How many grams of butter does David have?,Scarlett has 399 grams of butter. David has 229 grams more butter than Scarlett. How many grams of butter does David have?,628,628,628,Addition,2
How many bottles does Alexander have in their collection?,Ella has 848 bottles. Ella has 746 more bottles than Alexander.,Ella has 401 bottles. Ella has 299 more bottles than Alexander.,Ella has 848 bottles. Ella has 746 bottles more than Alexander. How many bottles does Alexander have in his collection?,Ella has 401 bottles. Ella has 299 bottles more than Alexander. How many bottles does Alexander have in his collection?,102,102,102,Subtraction,2
How many gigabytes of training data does Emma have?,Nicholas has 797 gigabytes of training data. Nicholas has 600 gigabytes of training data more than Emma.,Nicholas has 503 gigabytes of training data. Nicholas has 306 gigabytes of training data more than Emma.,Nicholas has 797 gigabytes of training data. Nicholas has 600 gigabytes more training data than Emma. How many gigabytes of training data does Emma have?,Nicholas has 503 gigabytes of training data. Nicholas has 306 gigabytes more training data than Emma. How many gigabytes of training data does Emma have?,197,197,197,Subtraction,2
What is the number of small mouses that Olivia has?,Avery has 674 small mouses. Olivia has 222 fewer small mouses than Avery.,Avery has 715 small mouses. Olivia has 263 fewer small mouses than Avery.,Avery has 674 small mice. Olivia has 222 fewer small mice than Avery. What is the number of small mice that Olivia has?,Avery has 715 small mice. Olivia has 263 fewer small mice than Avery. What is the number of small mice that Olivia has?,452,452,452,Subtraction,1
How many keyboards does Daniel have in their collection?,David has 200 keyboards. Daniel has 260 more keyboards than David.,David has 103 keyboards. Daniel has 357 more keyboards than David.,David has 200 keyboards. Daniel has 260 keyboards more than David. How many keyboards does Daniel have in his collection?,David has 103 keyboards. Daniel has 357 keyboards more than David. How many keyboards does Daniel have in his collection?,460,460,460,Addition,1
How many hairdryers does Ella have in all?,Grace has 913 hairdryers. Ella has 502 fewer hairdryers than Grace.,Grace has 804 hairdryers. Ella has 393 fewer hairdryers than Grace.,Grace has 913 hairdryers. Ella has 502 fewer hairdryers than Grace. How many hairdryers does Ella have in total?,Grace has 804 hairdryers. Ella has 393 fewer hairdryers than Grace. How many hairdryers does Ella have in total?,411,411,411,Subtraction,1
What is the number of yellow refrigerators that Evelyn has?,Matthew has 885 yellow refrigerators. Evelyn has 742 fewer yellow refrigerators than Matthew.,Matthew has 392 yellow refrigerators. Evelyn has 249 fewer yellow refrigerators than Matthew.,Matthew has 885 yellow refrigerators. Evelyn has 742 fewer yellow refrigerators than Matthew. What is the number of yellow refrigerators that Evelyn has?,Matthew has 392 yellow refrigerators. Evelyn has 249 fewer yellow refrigerators than Matthew. What is the number of yellow refrigerators that Evelyn has?,143,143,143,Subtraction,1
How many meters of rope does Mila have?,Jackson has 571 meters of rope. Mila has 307 meters of rope more than Jackson.,Jackson has 699 meters of rope. Mila has 179 meters of rope more than Jackson.,Jackson has 571 meters of rope. Mila has 307 meters more rope than Jackson. How many meters of rope does Mila have?,Jackson has 699 meters of rope. Mila has 179 meters more rope than Jackson. How many meters of rope does Mila have?,878,878,878,Addition,2
How many acres of farmland does Ella have?,Evelyn has 384 acres of farmland. Ella has 132 acres of farmland less than Evelyn.,Evelyn has 751 acres of farmland. Ella has 499 acres of farmland less than Evelyn.,Evelyn has 384 acres of farmland. Ella has 132 acres less farmland than Evelyn. How many acres of farmland does Ella have?,Evelyn has 751 acres of farmland. Ella has 499 acres less farmland than Evelyn. How many acres of farmland does Ella have?,252,252,252,Subtraction,2
What is the number of orange soaps that Ryan has?,Christian has 430 orange soaps. Christian has 349 fewer orange soaps than Ryan.,Christian has 282 orange soaps. Christian has 497 fewer orange soaps than Ryan.,Christian has 430 orange soaps. Christian has 349 fewer orange soaps than Ryan. What is the number of orange soaps that Ryan has?,Christian has 282 orange soaps. Christian has 497 fewer orange soaps than Ryan. What is the number of orange soaps that Ryan has?,779,779,779,Addition,1
What is the number of orange watchs that Chloe has?,Amelia has 541 orange watchs. Amelia has 408 fewer orange watchs than Chloe.,Amelia has 484 orange watchs. Amelia has 465 fewer orange watchs than Chloe.,Amelia has 541 orange watches. Amelia has 408 fewer orange watches than Chloe. What is the number of orange watches that Chloe has?,Amelia has 484 orange watches. Amelia has 465 fewer orange watches than Chloe. What is the number of orange watches that Chloe has?,949,949,949,Addition,1
What is the number of green rugs that Ryan has?,Lucy has 140 green rugs. Ryan has 818 more green rugs than Lucy.,Lucy has 379 green rugs. Ryan has 579 more green rugs than Lucy.,Lucy has 140 green rugs. Ryan has 818 green rugs more than Lucy. What is the number of green rugs that Ryan has?,Lucy has 379 green rugs. Ryan has 579 green rugs more than Lucy. What is the number of green rugs that Ryan has?,958,958,958,Addition,2
How many grams of butter does Avery have?,Evelyn has 240 grams of butter. Avery has 638 grams of butter more than Evelyn.,Evelyn has 283 grams of butter. Avery has 595 grams of butter more than Evelyn.,Evelyn has 240 grams of butter. Avery has 638 grams more butter than Evelyn. How many grams of butter does Avery have?,Evelyn has 283 grams of butter. Avery has 595 grams more butter than Evelyn. How many grams of butter does Avery have?,878,878,878,Addition,1
How many meters of rope does Victoria have?,William has 643 meters of rope. William has 113 meters of rope less than Victoria.,William has 629 meters of rope. William has 127 meters of rope less than Victoria.,William has 643 meters of rope. William has 113 meters less rope than Victoria. How many meters of rope does Victoria have?,William has 629 meters of rope. William has 127 meters less rope than Victoria. How many meters of rope does Victoria have?,756,756,756,Addition,1
How many rolls of toilet papers does Christian have in all?,David has 779 rolls of toilet papers. Christian has 559 fewer rolls of toilet papers than David.,David has 606 rolls of toilet papers. Christian has 386 fewer rolls of toilet papers than David.,David has 779 rolls of toilet paper. Christian has 559 fewer rolls of toilet paper than David. How many rolls of toilet paper does Christian have in total?,David has 606 rolls of toilet paper. Christian has 386 fewer rolls of toilet paper than David. How many rolls of toilet paper does Christian have in total?,220,220,220,Subtraction,1
What is the number of large pans that John has?,Alexander has 738 large pans. Alexander has 513 more large pans than John.,Alexander has 954 large pans. Alexander has 729 more large pans than John.,Alexander has 738 large pans. Alexander has 513 more large pans than John. What is the number of large pans that John has?,Alexander has 954 large pans. Alexander has 729 more large pans than John. What is the number of large pans that John has?,225,225,225,Subtraction,1
How many bookshelfs does Mila have in total?,Jonathan has 631 bookshelfs. Mila has 121 more bookshelfs than Jonathan.,Jonathan has 575 bookshelfs. Mila has 177 more bookshelfs than Jonathan.,Jonathan has 631 bookshelves. Mila has 121 more bookshelves than Jonathan. How many bookshelves does Mila have in total?,Jonathan has 575 bookshelves. Mila has 177 more bookshelves than Jonathan. How many bookshelves does Mila have in total?,752,752,752,Addition,2
How many dollars of bitcoin does Jonathan have?,Sophia has 838 dollars of bitcoin. Sophia has 620 dollars of bitcoin more than Jonathan.,Sophia has 910 dollars of bitcoin. Sophia has 692 dollars of bitcoin more than Jonathan.,Sophia has 838 dollars of bitcoin. Sophia has 620 dollars more of bitcoin than Jonathan. How many dollars of bitcoin does Jonathan have?,Sophia has 910 dollars of bitcoin. Sophia has 692 dollars more of bitcoin than Jonathan. How many dollars of bitcoin does Jonathan have?,218,218,218,Subtraction,2
How many liters of milk does Matthew have?,Mason has 688 liters of milk. Mason has 314 liters of milk more than Matthew.,Mason has 907 liters of milk. Mason has 533 liters of milk more than Matthew.,Mason has 688 liters of milk. Mason has 314 liters more milk than Matthew. How many liters of milk does Matthew have?,Mason has 907 liters of milk. Mason has 533 liters more milk than Matthew. How many liters of milk does Matthew have?,374,374,374,Subtraction,1
What is the number of large washing machines that Avery has?,Evelyn has 380 large washing machines. Avery has 100 fewer large washing machines than Evelyn.,Evelyn has 408 large washing machines. Avery has 128 fewer large washing machines than Evelyn.,Evelyn has 380 large washing machines. Avery has 100 fewer large washing machines than Evelyn. What is the number of large washing machines that Avery has?,Evelyn has 408 large washing machines. Avery has 128 fewer large washing machines than Evelyn. What is the number of large washing machines that Avery has?,280,280,280,Subtraction,1
What is the number of large tables that Ella has?,Mila has 948 large tables. Mila has 318 more large tables than Ella.,Mila has 810 large tables. Mila has 180 more large tables than Ella.,Mila has 948 large tables. Mila has 318 more large tables than Ella. What is the number of large tables that Ella has?,Mila has 810 large tables. Mila has 180 more large tables than Ella. What is the number of large tables that Ella has?,630,630,630,Subtraction,1
How many grams of butter does Ryan have?,Olivia has 122 grams of butter. Ryan has 531 grams of butter more than Olivia.,Olivia has 138 grams of butter. Ryan has 515 grams of butter more than Olivia.,Olivia has 122 grams of butter. Ryan has 531 grams more butter than Olivia. How many grams of butter does Ryan have?,Olivia has 138 grams of butter. Ryan has 515 grams more butter than Olivia. How many grams of butter does Ryan have?,653,653,653,Addition,1
How many mugs does Avery have in total?,Elijah has 413 mugs. Elijah has 540 fewer mugs than Avery.,Elijah has 755 mugs. Elijah has 198 fewer mugs than Avery.,Elijah has 413 mugs. Elijah has 540 fewer mugs than Avery. How many mugs does Avery have in total?,Elijah has 755 mugs. Elijah has 198 fewer mugs than Avery. How many mugs does Avery have in total?,953,953,953,Addition,2
How many phones does Lily have in total?,William has 637 phones. William has 414 more phones than Lily.,William has 414 phones. William has 191 more phones than Lily.,William has 637 phones. He has 414 more phones than Lily. How many phones does Lily have in total?,William has 414 phones. He has 191 more phones than Lily. How many phones does Lily have in total?,223,223,223,Subtraction,1
How many blenders does Layla have?,Daniel has 512 blenders. Daniel has 201 more blenders than Layla.,Daniel has 500 blenders. Daniel has 189 more blenders than Layla.,Daniel has 512 blenders. Daniel has 201 more blenders than Layla. How many blenders does Layla have?,Daniel has 500 blenders. Daniel has 189 more blenders than Layla. How many blenders does Layla have?,311,311,311,Subtraction,2
How many toothbrushs does David have in all?,Emily has 654 toothbrushs. Emily has 123 fewer toothbrushs than David.,Emily has 598 toothbrushs. Emily has 179 fewer toothbrushs than David.,Emily has 654 toothbrushes. Emily has 123 fewer toothbrushes than David. How many toothbrushes does David have in total?,Emily has 598 toothbrushes. Emily has 179 fewer toothbrushes than David. How many toothbrushes does David have in total?,777,777,777,Addition,2
What is the number of large watchs that Logan has?,Mia has 203 large watchs. Logan has 483 more large watchs than Mia.,Mia has 569 large watchs. Logan has 117 more large watchs than Mia.,Mia has 203 large watches. Logan has 483 more large watches than Mia. What is the number of large watches that Logan has?,Mia has 569 large watches. Logan has 117 more large watches than Mia. What is the number of large watches that Logan has?,686,686,686,Addition,1
